#.t	.in_6
#d	W/m2
22.25	0.0
22.2916667	2.77778
22.3333333	25.0
22.375	86.11111
22.4166667	158.33333
22.4583333	113.88889
22.5	150.0
22.5416667	263.88889
22.5833333	116.66667
22.625	25.0
22.6666667	0.0
22.7083333	0.0
22.75	0.0
22.7916667	0.0
22.8333333	0.0
22.875	0.0
22.9166667	0.0
22.9583333	0.0
23.0	0.0
23.0416667	0.0
23.0833333	0.0
23.125	0.0
23.1666667	0.0
23.2083333	0.0
23.25	0.0
23.2916667	13.88889
23.3333333	83.33333
23.375	105.55556
23.4166667	88.88889
23.4583333	102.77778
23.5	116.66667
23.5416667	91.66667
23.5833333	41.66667
23.625	13.88889
23.6666667	0.0
23.7083333	0.0
23.75	0.0
23.7916667	0.0
23.8333333	0.0
23.875	0.0
23.9166667	0.0
23.9583333	0.0
24.0	0.0
24.0416667	0.0
24.0833333	0.0
24.125	0.0
24.1666667	0.0
24.2083333	0.0
24.25	0.0
24.2916667	8.33333
24.3333333	41.66667
24.375	55.55556
24.4166667	83.33333
24.4583333	152.77778
24.5	94.44444
24.5416667	108.33333
24.5833333	63.88889
24.625	16.66667
24.6666667	0.0
24.7083333	0.0
24.75	0.0
24.7916667	0.0
24.8333333	0.0
24.875	0.0
24.9166667	0.0
24.9583333	0.0
25.0	0.0
25.0416667	0.0
25.0833333	0.0
25.125	0.0
25.1666667	0.0
25.2083333	0.0
25.25	0.0
25.2916667	2.77778
25.3333333	19.44444
25.375	33.33333
25.4166667	55.55556
25.4583333	47.22222
25.5	61.11111
25.5416667	55.55556
25.5833333	25.0
25.625	5.55556
25.6666667	0.0
25.7083333	0.0
25.75	0.0
25.7916667	0.0
25.8333333	0.0
25.875	0.0
25.9166667	0.0
25.9583333	0.0
26.0	0.0
26.0416667	0.0
26.0833333	0.0
26.125	0.0
26.1666667	0.0
26.2083333	0.0
26.25	0.0
26.2916667	5.55556
26.3333333	91.66667
26.375	180.55556
26.4166667	277.77778
26.4583333	319.44444
26.5	308.33333
26.5416667	266.66667
26.5833333	155.55556
26.625	30.55556
26.6666667	0.0
26.7083333	0.0
26.75	0.0
26.7916667	0.0
26.8333333	0.0
26.875	0.0
26.9166667	0.0
26.9583333	0.0
27.0	0.0
27.0416667	0.0
27.0833333	0.0
27.125	0.0
27.1666667	0.0
27.2083333	0.0
27.25	0.0
27.2916667	5.55556
27.3333333	55.55556
27.375	91.66667
27.4166667	80.55556
27.4583333	136.11111
27.5	258.33333
27.5416667	241.66667
27.5833333	155.55556
27.625	50.0
27.6666667	0.0
27.7083333	0.0
27.75	0.0
27.7916667	0.0
27.8333333	0.0
27.875	0.0
27.9166667	0.0
27.9583333	0.0
28.0	0.0
28.0416667	0.0
28.0833333	0.0
28.125	0.0
28.1666667	0.0
28.2083333	0.0
28.25	0.0
28.2916667	0.0
28.3333333	13.88889
28.375	22.22222
28.4166667	41.66667
28.4583333	61.11111
28.5	52.77778
28.5416667	36.11111
28.5833333	25.0
28.625	13.88889
28.6666667	0.0
28.7083333	0.0
28.75	0.0
28.7916667	0.0
28.8333333	0.0
28.875	0.0
28.9166667	0.0
28.9583333	0.0
29.0	0.0
29.0416667	0.0
29.0833333	0.0
29.125	0.0
29.1666667	0.0
29.2083333	0.0
29.25	0.0
29.2916667	0.0
29.3333333	22.22222
29.375	44.44444
29.4166667	58.33333
29.4583333	61.11111
29.5	66.66667
29.5416667	58.33333
29.5833333	30.55556
29.625	16.66667
29.6666667	0.0
29.7083333	0.0
29.75	0.0
29.7916667	0.0
29.8333333	0.0
29.875	0.0
29.9166667	0.0
29.9583333	0.0
30.0	0.0
30.0416667	0.0
30.0833333	0.0
30.125	0.0
30.1666667	0.0
30.2083333	0.0
30.25	0.0
30.2916667	5.55556
30.3333333	83.33333
30.375	194.44444
30.4166667	277.77778
30.4583333	316.66667
30.5	313.88889
30.5416667	261.11111
30.5833333	169.44444
