#.t	.in_5
#d	degC
46.2916667	4.2
46.3333333	4.2
46.375	4.2
46.4166667	4.3
46.4583333	4.4
46.5	4.5
46.5416667	4.6
46.5833333	4.8
46.625	4.9
46.6666667	5.0
46.7083333	5.1
46.75	5.1
46.7916667	5.1
46.8333333	5.1
46.875	5.0
46.9166667	4.9
46.9583333	4.8
47.0	4.6
47.0416667	4.6
47.0833333	4.6
47.125	4.7
47.1666667	4.8
47.2083333	4.8
47.25	4.8
47.2916667	4.9
47.3333333	4.9
47.375	4.8
47.4166667	5.0
47.4583333	5.1
47.5	5.1
47.5416667	
47.5833333	5.1
47.625	5.2
47.6666667	5.3
47.7083333	5.3
47.75	5.3
47.7916667	5.3
47.8333333	5.2
47.875	5.2
47.9166667	5.2
47.9583333	5.2
48.0	5.2
48.0416667	5.3
48.0833333	5.5
48.125	5.6
48.1666667	5.7
48.2083333	5.8
48.25	5.9
48.2916667	5.9
48.3333333	5.9
48.375	5.9
48.4166667	5.8
48.4583333	5.9
48.5	6.0
48.5416667	6.0
48.5833333	6.1
48.625	6.1
48.6666667	6.1
48.7083333	6.2
48.75	6.2
48.7916667	6.2
48.8333333	6.1
48.875	6.1
48.9166667	6.1
48.9583333	6.1
49.0	6.0
49.0416667	6.0
49.0833333	6.0
49.125	5.9
49.1666667	5.9
49.2083333	5.9
49.25	5.9
49.2916667	5.8
49.3333333	5.8
49.375	5.8
49.4166667	5.8
49.4583333	5.8
49.5	6.1
49.5416667	6.5
49.5833333	6.7
49.625	6.8
49.6666667	6.8
49.7083333	6.7
49.75	6.6
49.7916667	6.4
49.8333333	6.3
49.875	6.1
49.9166667	6.0
49.9583333	6.0
50.0	5.9
50.0416667	5.8
50.0833333	5.8
50.125	5.7
50.1666667	5.6
50.2083333	5.4
50.25	5.3
50.2916667	5.1
50.3333333	5.1
50.375	4.9
50.4166667	4.9
50.4583333	4.9
50.5	5.0
50.5416667	5.1
50.5833333	5.1
50.625	5.2
50.6666667	5.2
50.7083333	5.2
50.75	5.1
50.7916667	5.1
50.8333333	4.9
50.875	4.9
50.9166667	4.7
50.9583333	4.6
51.0	4.6
51.0416667	4.5
51.0833333	4.4
51.125	4.4
51.1666667	4.4
51.2083333	4.4
51.25	4.4
51.2916667	4.3
51.3333333	4.3
51.375	4.3
51.4166667	4.3
51.4583333	4.3
51.5	4.4
51.5416667	4.6
51.5833333	4.6
51.625	4.7
51.6666667	4.7
51.7083333	4.8
51.75	4.9
51.7916667	4.8
51.8333333	4.8
51.875	4.8
51.9166667	4.7
51.9583333	4.7
52.0	4.6
52.0416667	4.6
52.0833333	4.6
52.125	4.7
52.1666667	4.7
52.2083333	4.8
52.25	4.8
52.2916667	4.9
52.3333333	4.9
52.375	4.9
52.4166667	4.9
52.4583333	5.0
52.5	5.1
52.5416667	5.2
52.5833333	5.4
52.625	5.5
52.6666667	5.6
52.7083333	5.6
52.75	5.6
52.7916667	5.6
52.8333333	5.5
52.875	5.5
52.9166667	5.5
52.9583333	5.5
53.0	5.5
53.0416667	5.5
53.0833333	5.5
53.125	5.6
53.1666667	5.7
53.2083333	5.7
53.25	5.8
53.2916667	5.9
53.3333333	6.0
53.375	6.0
53.4166667	6.0
53.4583333	6.1
53.5	6.1
53.5416667	6.3
53.5833333	6.4
53.625	6.5
53.6666667	6.6
53.7083333	6.6
53.75	6.7
53.7916667	6.7
53.8333333	6.7
53.875	6.7
53.9166667	6.8
53.9583333	6.8
54.0	6.9
54.0416667	6.9
54.0833333	7.0
54.125	7.1
54.1666667	7.2
54.2083333	7.3
54.25	7.4
54.2916667	7.5
54.3333333	7.5
54.375	7.5
54.4166667	7.6
54.4583333	7.6
54.5	7.7
54.5416667	7.7
54.5833333	7.8
54.625	7.8
54.6666667	7.8
54.7083333	7.9
54.75	7.9
54.7916667	7.9
54.8333333	7.9
54.875	7.9
54.9166667	7.9
54.9583333	7.9
55.0	7.8
55.0416667	7.8
55.0833333	7.7
55.125	7.7
55.1666667	7.7
55.2083333	7.7
55.25	7.8
55.2916667	7.8
55.3333333	7.8
55.375	7.8
55.4166667	7.8
55.4583333	7.9
55.5	8.0
55.5416667	8.2
55.5833333	8.2
55.625	8.3
55.6666667	8.5
55.7083333	8.6
55.75	8.6
55.7916667	8.5
55.8333333	8.5
55.875	8.5
55.9166667	8.4
55.9583333	8.3
56.0	8.2
56.0416667	8.2
56.0833333	8.1
56.125	8.1
56.1666667	8.1
56.2083333	8.1
56.25	8.1
56.2916667	8.1
56.3333333	8.0
56.375	8.0
56.4166667	8.0
56.4583333	8.0
56.5	8.0
56.5416667	8.1
56.5833333	8.1
56.625	8.3
56.6666667	8.3
56.7083333	8.3
56.75	8.2
56.7916667	8.2
56.8333333	8.2
56.875	8.2
56.9166667	8.1
56.9583333	8.1
57.0	8.0
57.0416667	8.0
57.0833333	8.0
57.125	7.9
57.1666667	7.8
57.2083333	7.7
57.25	7.7
57.2916667	7.6
57.3333333	7.6
57.375	7.5
57.4166667	7.5
57.4583333	7.5
57.5	7.7
57.5416667	7.8
57.5833333	7.9
57.625	8.0
57.6666667	8.0
57.7083333	8.0
57.75	8.0
57.7916667	7.9
57.8333333	7.9
57.875	7.8
57.9166667	7.8
57.9583333	7.8
58.0	7.7
58.0416667	7.7
58.0833333	7.7
58.125	7.8
58.1666667	7.8
58.2083333	7.9
58.25	8.0
58.2916667	8.0
58.3333333	8.0
58.375	8.1
58.4166667	8.1
58.4583333	8.1
58.5	8.2
58.5416667	8.2
58.5833333	8.3
58.625	8.3
58.6666667	8.3
58.7083333	8.4
58.75	8.4
58.7916667	8.4
58.8333333	8.4
58.875	8.3
58.9166667	8.3
58.9583333	8.3
59.0	8.2
59.0416667	8.2
59.0833333	8.2
59.125	8.3
59.1666667	8.3
59.2083333	8.4
59.25	8.4
59.2916667	8.5
59.3333333	8.5
59.375	8.5
59.4166667	8.5
59.4583333	8.6
59.5	8.6
59.5416667	8.7
59.5833333	8.8
59.625	8.8
59.6666667	8.9
59.7083333	9.0
59.75	9.0
59.7916667	9.0
59.8333333	9.0
59.875	9.0
59.9166667	9.0
59.9583333	9.0
60.0	9.0
60.0416667	8.9
60.0833333	8.9
60.125	8.9
60.1666667	9.0
60.2083333	9.0
60.25	9.0
60.2916667	9.1
60.3333333	9.1
60.375	9.1
60.4166667	9.1
60.4583333	9.1
60.5	9.1
60.5416667	9.2
60.5833333	9.2
60.625	9.2
60.6666667	9.3
60.7083333	9.3
60.75	9.3
60.7916667	9.3
60.8333333	9.3
60.875	9.3
60.9166667	9.2
60.9583333	9.2
61.0	9.2
61.0416667	9.1
61.0833333	9.1
61.125	9.1
61.1666667	9.1
61.2083333	9.1
61.25	9.2
61.2916667	9.2
61.3333333	9.2
61.375	9.2
61.4166667	9.3
61.4583333	9.3
61.5	9.3
61.5416667	9.4
61.5833333	9.5
61.625	9.6
61.6666667	9.6
61.7083333	9.7
61.75	9.7
61.7916667	9.7
61.8333333	9.7
61.875	9.6
61.9166667	9.5
