#.t	.River_1.DO	.River_1.NH4	.River_2.DO	.River_2.NH4	.River_3.DO	.River_3.NH4	.River_4.DO	.River_4.NH4	.River_5.DO	.River_5.NH4
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3
121.85	8.8921177	0.049190123	9.2766438	0.048410569	9.4451851	0.047664798	9.5223807	0.046938903	9.5606647	0.046207564
121.86	8.893978	0.049189932	9.27816	0.048408974	9.4461356	0.047661552	9.5229031	0.046935134	9.5609108	0.046205265
121.87	8.8961403	0.04918982	9.2801171	0.048407562	9.4475872	0.047658508	9.5239491	0.046931474	9.5616845	0.046202919
121.88	8.8986754	0.049189779	9.2825637	0.048406344	9.4495872	0.047655682	9.5255672	0.046927948	9.5630354	0.046200546
121.89	8.901965	0.049189845	9.2858784	0.048405389	9.4525095	0.047653168	9.5281315	0.046924642	9.5653383	0.046198211
121.9	8.9058615	0.049190065	9.2899633	0.048404653	9.4562396	0.047650917	9.5315201	0.04692154	9.5684701	0.046195943
121.91	8.9102233	0.049190463	9.2947264	0.048404133	9.4606938	0.047648923	9.5356505	0.046918643	9.5723495	0.046193748
121.92	8.9148619	0.04919104	9.3000025	0.048403808	9.4657132	0.047647158	9.5403642	0.046915931	9.5768186	0.046191621
121.93	8.9194639	0.049191774	9.3055225	0.048403696	9.4710689	0.047645636	9.5454447	0.046913417	9.5816665	0.046189552
121.94	8.9238724	0.049192521	9.310985	0.04840376	9.4764694	0.047644324	9.5506076	0.04691107	9.5866122	0.04618752
121.95	8.9281844	0.04919328	9.3164188	0.048403916	9.4818966	0.047643151	9.5558231	0.046908843	9.5916224	0.046185518
121.96	8.9323385	0.049194077	9.3217999	0.048404238	9.4873652	0.047642195	9.56112	0.0469068	9.5967315	0.04618358
121.97	8.9362853	0.049195001	9.3271273	0.048404674	9.4928439	0.047641403	9.5664609	0.046904902	9.6018995	0.046181699
121.98	8.9400916	0.049195978	9.3323852	0.048405264	9.4983375	0.047640795	9.5718514	0.04690317	9.6071337	0.046179887
121.99	8.9438605	0.049196946	9.3376017	0.048405958	9.5038392	0.047640356	9.5772806	0.046901601	9.6124233	0.046178152
122	8.9476039	0.049197922	9.3427788	0.048406787	9.5093624	0.0476401	9.5827666	0.046900206	9.6177865	0.046176509
122.01	8.951452	0.049199049	9.3481706	0.048407749	9.5151307	0.047640041	9.588525	0.046899	9.6234362	0.046174984
122.02	8.9557488	0.04920032	9.3540617	0.048408924	9.5214444	0.047640227	9.5948498	0.046898041	9.629664	0.046173635
122.03	8.9605507	0.049201628	9.3604294	0.04841028	9.5282583	0.047640661	9.6016953	0.046897336	9.6364253	0.046172471
122.04	8.9657125	0.049202972	9.3671575	0.048411796	9.5354579	0.047641305	9.6089451	0.046896846	9.6436014	0.04617147
122.05	8.971078	0.04920448	9.3742803	0.048413488	9.5430729	0.047642207	9.6166332	0.046896621	9.6512297	0.046170673
122.06	8.9766243	0.049206116	9.3817049	0.04841536	9.551036	0.04764333	9.6246877	0.046896632	9.6592358	0.046170064
122.07	8.9824696	0.049207752	9.3894278	0.04841739	9.5593278	0.047644684	9.6330891	0.046896895	9.6676017	0.046169659
122.08	8.9885354	0.049209374	9.3973717	0.048419578	9.5678727	0.047646284	9.6417673	0.046897426	9.6762583	0.046169477
122.09	8.9945838	0.049210965	9.4053011	0.048421831	9.5764212	0.047648013	9.6504641	0.046898108	9.6849435	0.046169421
122.1	9.0005251	0.049212507	9.413131	0.04842415	9.584891	0.047649901	9.659102	0.046898978	9.6935833	0.046169521
122.11	9.0059429	0.04921398	9.4204733	0.048426486	9.5929003	0.047651934	9.6673065	0.046900047	9.7018094	0.046169788
122.12	9.0111017	0.049215441	9.4275776	0.048428833	9.6006853	0.04765405	9.6753005	0.046901234	9.7098356	0.046170161
122.13	9.0159826	0.049216898	9.4344282	0.048431192	9.6082313	0.047656261	9.6830704	0.04690256	9.7176497	0.046170657
122.14	9.0205384	0.049218383	9.4409923	0.048433572	9.6155108	0.04765858	9.6905899	0.046904057	9.7252269	0.046171314
122.15	9.0249332	0.049219815	9.4473157	0.048435975	9.622566	0.047660994	9.6978984	0.046905706	9.7326046	0.04617212
122.16	9.029206	0.049221171	9.4534068	0.04843838	9.6293897	0.047663495	9.7049865	0.046907507	9.7397727	0.046173079
122.17	9.033401	0.049222459	9.4593352	0.048440768	9.6360414	0.04766604	9.7119085	0.046909393	9.7467811	0.046174128
122.18	9.0371517	0.04922359	9.4646762	0.048443087	9.6420948	0.047668617	9.7182439	0.046911387	9.7532149	0.046175299
122.19	9.0402806	0.049224642	9.4693849	0.048445305	9.6474985	0.047671178	9.7239368	0.04691343	9.7590157	0.046176533
122.2	9.0428	0.049225596	9.4733649	0.048447412	9.6521638	0.047673708	9.7288992	0.046915524	9.7640959	0.046177845
122.21	9.0450072	0.049226502	9.4769619	0.048449446	9.6564308	0.047676213	9.7334637	0.046917649	9.7687833	0.04617921
122.22	9.0468964	0.04922736	9.4801729	0.048451399	9.6602919	0.04767869	9.7376218	0.046919807	9.7730693	0.046180631
122.23	9.0483142	0.049228151	9.482797	0.048453235	9.6635362	0.047681111	9.7411606	0.046922002	9.7767416	0.046182135
122.24	9.0495386	0.049228888	9.4851255	0.048455002	9.666462	0.047683493	9.7443769	0.046924215	9.7800936	0.04618369
122.25	9.0506054	0.049229564	9.4871867	0.048456701	9.6690963	0.047685836	9.7472972	0.046926443	9.7831511	0.046185291
122.26	9.0515362	0.049230129	9.4889251	0.048458304	9.6713666	0.047688122	9.7498451	0.046928685	9.7858372	0.046186954
122.27	9.0524368	0.04923059	9.4904731	0.048459828	9.6734067	0.047690362	9.7521546	0.046930932	9.7882844	0.046188658
122.28	9.0531903	0.049231003	9.4917911	0.048461236	9.6751551	0.047692532	9.754158	0.046933181	9.790424	0.046190418
122.29	9.0538386	0.049231395	9.4929574	0.048462571	9.6767153	0.047694648	9.755961	0.046935425	9.7923609	0.046192215
122.3	9.0538188	0.049232167	9.4939426	0.048463846	9.6780729	0.047696695	9.757546	0.046937659	9.7940762	0.046194053
122.31	9.0536615	0.049232941	9.4947181	0.048465133	9.6792566	0.047698684	9.7589456	0.04693988	9.7956021	0.046195926
122.32	9.0535065	0.049233629	9.4953218	0.048466407	9.6802745	0.047700621	9.7601727	0.046942082	9.796951	0.04619783
