#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
121.42	0.73265127	0.4193087	0.17114034	0.72401147	0.41629358	0.17037221	0.70872902	0.41092617	0.16899874	0.68676947	0.40313498	0.16699101	0.6624299	0.39438645	0.16471633
121.43	0.7331823	0.41949357	0.17118735	0.72501121	0.41664318	0.1704614	0.71048544	0.41154532	0.16915758	0.68928424	0.40403207	0.16722305	0.6652127	0.39539294	0.16497914
121.44	0.73363351	0.41965061	0.17122729	0.72595607	0.41697343	0.17054562	0.7121583	0.41213448	0.16930863	0.69171636	0.40489851	0.16744695	0.66796698	0.39638757	0.16523858
121.45	0.734037	0.41979102	0.17126299	0.72684201	0.41728292	0.17062452	0.71374713	0.41269354	0.16945187	0.69406219	0.40573307	0.16766242	0.67068539	0.39736767	0.16549395
121.46	0.73423245	0.41985902	0.17128027	0.72766712	0.41757103	0.17069795	0.71525314	0.413223	0.16958745	0.69631969	0.40653515	0.16786931	0.6733606	0.39833065	0.16574458
121.47	0.73365608	0.41965847	0.17122929	0.72836265	0.41781379	0.1707598	0.71667228	0.4137215	0.16971502	0.69848633	0.40730394	0.16806743	0.67598565	0.39927404	0.16598985
121.48	0.73314635	0.41948106	0.17118417	0.72893046	0.41801191	0.17081027	0.71801082	0.41419137	0.16983521	0.70057493	0.40804425	0.16825807	0.67856379	0.40019933	0.16623018
121.49	0.73270305	0.41932673	0.17114492	0.72936205	0.41816246	0.17084861	0.71924329	0.41462367	0.16994573	0.70256509	0.40874876	0.16843934	0.68107916	0.40110059	0.166464
121.5	0.73226106	0.41917283	0.17110578	0.72972874	0.41829035	0.17088118	0.72040642	0.41503145	0.17004995	0.70448866	0.40942915	0.16861429	0.68354833	0.40198435	0.16669312
121.51	0.73030349	0.41849073	0.17093219	0.72989418	0.41834804	0.17089587	0.72145503	0.41539882	0.1701438	0.70631019	0.41007267	0.16877964	0.6859464	0.4028413	0.16691504
121.52	0.72856738	0.4178852	0.17077799	0.7298286	0.41832517	0.17089004	0.72238909	0.41572589	0.17022732	0.70803906	0.41068286	0.16893631	0.68827727	0.4036731	0.16713025
121.53	0.7270188	0.41734463	0.17064025	0.72959522	0.41824379	0.17086932	0.72320711	0.4160122	0.1703004	0.70967834	0.41126092	0.16908464	0.69054238	0.40448045	0.16733895
121.54	0.72556225	0.41683578	0.17051052	0.72922344	0.41811411	0.1708363	0.723901	0.41625497	0.17036236	0.71122179	0.41180473	0.1692241	0.69273664	0.40526159	0.16754071
121.55	0.72404393	0.41630496	0.17037512	0.72873555	0.41794391	0.17079295	0.72447711	0.41645646	0.17041377	0.71267178	0.41231522	0.16935495	0.69486114	0.40601704	0.16773568
121.56	0.72264691	0.41581613	0.17025035	0.72811889	0.41772872	0.17073813	0.72491338	0.416609	0.17045268	0.71400629	0.41278467	0.16947521	0.69689825	0.40674049	0.16792223
121.57	0.72140001	0.41537954	0.17013887	0.72743857	0.41749123	0.17067762	0.72523542	0.41672158	0.1704814	0.71523949	0.41321818	0.16958621	0.69885768	0.40743562	0.16810135
121.58	0.72024952	0.41497645	0.1700359	0.72669712	0.41723232	0.17061162	0.72544283	0.41679408	0.17049989	0.71636892	0.41361498	0.16968777	0.70073565	0.40810117	0.16827272
121.59	0.71891058	0.41450702	0.16991592	0.7259044	0.41695538	0.17054102	0.72553936	0.41682782	0.17050849	0.71738816	0.41397285	0.16977933	0.70252523	0.40873474	0.16843575
121.6	0.71763707	0.41406019	0.16980166	0.72504128	0.4166537	0.17046408	0.72552417	0.41682251	0.17050714	0.71828949	0.41428914	0.16986021	0.70421649	0.40933289	0.16858954
121.61	0.71651106	0.41366485	0.16970052	0.72414853	0.41634152	0.17038444	0.72540844	0.41678206	0.17049682	0.71907705	0.41456538	0.16993084	0.70580963	0.40989581	0.16873419
121.62	0.71547493	0.41330093	0.16960739	0.7232337	0.41602151	0.17030278	0.7252278	0.41671892	0.17048072	0.71979037	0.41481551	0.16999477	0.70733686	0.4104351	0.16887271
121.63	0.7144522	0.41294146	0.16951536	0.72231108	0.41569858	0.17022034	0.72495256	0.4166227	0.17045618	0.72038283	0.41502318	0.17004784	0.70875393	0.41093504	0.16900103
121.64	0.71317549	0.41249247	0.16940036	0.72136252	0.41536642	0.17013552	0.72460531	0.41650129	0.17042521	0.72087727	0.41519643	0.1700921	0.71007754	0.41140166	0.16912075
121.65	0.71200474	0.41208045	0.16929478	0.7203812	0.4150226	0.17004769	0.72418488	0.41635426	0.1703877	0.7212662	0.41533268	0.17012691	0.71129685	0.4118312	0.16923089
121.66	0.7109733	0.41171722	0.16920167	0.71938635	0.41467383	0.16995856	0.72369421	0.41618263	0.1703439	0.72155233	0.4154329	0.1701525	0.71240926	0.4122228	0.16933126
121.67	0.70993974	0.41135309	0.16910829	0.71838886	0.414324	0.16986913	0.72316188	0.41599638	0.17029637	0.72177254	0.41551002	0.1701722	0.71345119	0.41258944	0.16942521
121.68	0.70880239	0.41095214	0.16900542	0.71738348	0.4139712	0.1697789	0.72257263	0.41579015	0.17024372	0.72189723	0.41555369	0.17018335	0.71438808	0.41291893	0.16950959
121.69	0.70777076	0.41058822	0.16891202	0.71636282	0.41361282	0.16968721	0.72193065	0.41556538	0.17018633	0.72193034	0.41556529	0.17018631	0.71521954	0.41321118	0.16958442
121.7	0.70684157	0.4102603	0.16882782	0.71535597	0.41325912	0.16959669	0.72125474	0.41532867	0.17012588	0.72189485	0.41555286	0.17018314	0.71596917	0.41347457	0.16965184
121.71	0.7061438	0.41001393	0.16876455	0.71436374	0.41291037	0.1695074	0.72053898	0.4150779	0.17006182	0.72178524	0.41551447	0.17017333	0.71662675	0.41370553	0.16971094
121.72	0.70585653	0.40991247	0.16873849	0.71343413	0.41258345	0.16942367	0.71979631	0.4148176	0.16999531	0.72160454	0.41545119	0.17015717	0.71719297	0.41390433	0.1697618
121.73	0.70562038	0.40982906	0.16871706	0.71257679	0.4122818	0.16934639	0.71903492	0.41455062	0.16992707	0.72135758	0.41536469	0.17013508	0.71766836	0.4140712	0.16980448
121.74	0.70541436	0.40975627	0.16869836	0.71180301	0.41200941	0.16927658	0.7182748	0.41428398	0.16985889	0.72104719	0.41525596	0.17010731	0.7180493	0.41420487	0.16983867
121.75	0.70530139	0.40971636	0.1686881	0.71107805	0.41175414	0.16921114	0.71750886	0.41401521	0.16979016	0.7206992	0.41513404	0.17007616	0.71837442	0.41431895	0.16986784
121.76	0.70541237	0.40975557	0.16869818	0.7104371	0.41152836	0.16915324	0.71675127	0.41374925	0.16972213	0.72030084	0.41499444	0.1700405	0.71861489	0.41440331	0.16988941
121.77	0.70555372	0.40980551	0.16871101	0.70989769	0.41133828	0.16910449	0.71601767	0.4134916	0.1696562	0.71986072	0.41484018	0.17000108	0.71877451	0.4144593	0.16990372
121.78	0.70567861	0.40984963	0.16872234	0.7094162	0.41116856	0.16906096	0.71530528	0.41324131	0.16959213	0.71939133	0.41467561	0.16995902	0.71886928	0.41449254	0.16991222
121.79	0.70577397	0.40988331	0.168731	0.70900926	0.41102509	0.16902414	0.7146253	0.41300232	0.16953095	0.71889633	0.41450202	0.16991464	0.71889958	0.41450317	0.16991494
