#.t	.River_1.C(rBOD1)	.River_1.C(rBOD1p)	.River_1.C(rBOD2)	.River_1.C(rBOD2p)	.River_1.C(rBODs)	.River_1.DO	.River_2.C(rBOD1)	.River_2.C(rBOD1p)	.River_2.C(rBOD2)	.River_2.C(rBOD2p)	.River_2.C(rBODs)	.River_2.DO	.River_3.C(rBOD1)	.River_3.C(rBOD1p)	.River_3.C(rBOD2)	.River_3.C(rBOD2p)	.River_3.C(rBODs)	.River_3.DO	.River_4.C(rBOD1)	.River_4.C(rBOD1p)	.River_4.C(rBOD2)	.River_4.C(rBOD2p)	.River_4.C(rBODs)	.River_4.DO	.River_5.C(rBOD1)	.River_5.C(rBOD1p)	.River_5.C(rBOD2)	.River_5.C(rBOD2p)	.River_5.C(rBODs)	.River_5.DO	.Urban_InputEmulator.Outflow(rBOD1)	.Urban_InputEmulator.Outflow(rBOD1p)	.Urban_InputEmulator.Outflow(rBOD2)	.Urban_InputEmulator.Outflow(rBOD2p)
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d	g/d	g/d	g/d
121.22	2.906734	0.0075314414	0.97651491	0.0025345276	0.18073548	8.2304719	2.8279358	0.0050706017	0.95801195	0.00062624284	11.766155	7.4482852	2.7680147	0.0029862872	0.95613241	0.00014705986	4.1903007	7.3661669	2.7530097	0.0015713165	1.0113785	3.2609855e-005	1.4026435	7.5132016	2.8348504	0.00077559623	1.1998642	6.9428559e-006	0.49992876	7.6756438	0	0	0	0
121.23	2.9062795	0.007567604	0.97639911	0.0025358734	0.18062075	8.2373699	2.8267642	0.0051524241	0.95760387	0.00062839767	11.647541	7.4741758	2.7655617	0.0030790533	0.95451378	0.00014843112	4.1451414	7.3976703	2.7472716	0.0016412062	1.0056072	3.3127441e-005	1.3884309	7.5455757	2.8221379	0.00081600681	1.1846001	7.0819057e-006	0.49544591	7.7092226	0	0	0	0
121.24	2.905847	0.0076004618	0.97628887	0.0025368026	0.18053894	8.2447516	2.8256393	0.0052295035	0.95721558	0.00063034488	11.532362	7.499907	2.763207	0.0031694846	0.95298309	0.00014971542	4.1007771	7.4291948	2.7417751	0.0017115845	1.0001232	3.3629874e-005	1.3742493	7.5780811	2.8099115	0.00085777954	1.1699724	7.2216995e-006	0.4909343	7.7429483	0	0	0	0
121.25	2.9054393	0.0076302194	0.97618491	0.0025375686	0.1804841	8.2525445	2.8245612	0.0053017725	0.95684695	0.00063207206	11.42071	7.525447	2.760951	0.0032572892	0.95154	0.00015090979	4.0572991	7.4606722	2.7365238	0.0017822494	0.99492938	3.4114769e-005	1.3601299	7.6106513	2.798182	0.00090090708	1.1559935	7.3614818e-006	0.48639784	7.7767518	0	0	0	0
121.26	2.905061	0.0076571063	0.97608839	0.002538271	0.18045335	8.2599995	2.8235339	0.0053692741	0.95649867	0.00063360172	11.312611	7.5501158	2.7587966	0.0033422033	0.95018369	0.00015201376	4.0148088	7.491328	2.7315206	0.001852958	0.99002502	3.4580177e-005	1.3461147	7.6424767	2.7869577	0.00094534343	1.1426683	7.5004285e-006	0.48184522	7.809804	0	0	0	0
121.27	2.9047109	0.0076816144	0.975999	0.0025387787	0.18044697	8.2662841	2.8225559	0.0054326911	0.95616908	0.00063497236	11.207649	7.5731514	2.7567346	0.0034244166	0.94890242	0.00015303974	3.9732622	7.5203006	2.7267369	0.0019234998	0.98537129	3.5027213e-005	1.3322287	7.6726379	2.7761796	0.00099086229	1.1299143	7.6380273e-006	0.4772881	7.8411584	0	0	0	0
121.28	2.9043874	0.0077039404	0.97591637	0.0025391216	0.1804626	8.2715305	2.8216254	0.005492223	0.95585734	0.00063619787	11.10566	7.5946754	2.7547612	0.0035038869	0.94769226	0.00015399351	3.9326598	7.5477021	2.7221641	0.0019937009	0.98095762	3.5455184e-005	1.3184897	7.7012443	2.7658344	0.0010373598	1.1177135	7.7738374e-006	0.47273206	7.8709207	0	0	0	0
121.29	2.9040929	0.007724465	0.97584106	0.0025397262	0.18048847	8.2759676	2.8207392	0.0055481319	0.95556206	0.00063729561	11.006461	7.6148073	2.75287	0.0035806119	0.94654742	0.00015487432	3.8929896	7.5736667	2.7177879	0.0020634081	0.97676681	3.586453e-005	1.3049105	7.7284319	2.7558966	0.0010847267	1.106032	7.9074366e-006	0.4681815	7.8992238	0	0	0	0
121.3	2.9038284	0.007743521	0.97577335	0.0025409424	0.18051292	8.2797475	2.8198934	0.0056007461	0.95528171	0.00063831618	10.909705	7.6337298	2.7510532	0.0036546929	0.94546181	0.00015569144	3.8541931	7.5983846	2.7135915	0.0021325119	0.97278086	3.6255949e-005	1.2914929	7.7543964	2.7463366	0.0011328363	1.0948333	8.0386034e-006	0.4636395	7.9262657	0	0	0	0
121.31	2.9035856	0.0077607566	0.97571114	0.0025421347	0.18054758	8.2829915	2.8190924	0.0056496296	0.955018	0.00063932388	10.81548	7.6514397	2.7493188	0.003725569	0.94444316	0.00015644791	3.8164028	7.6218583	2.7096003	0.0022006943	0.96903161	3.6625507e-005	1.2782782	7.7791637	2.7372177	0.0011817011	1.0842019	8.1664478e-006	0.45911174	7.9520708	0	0	0	0
