#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
0.5	1.9704357	0.767263	0.24732541	1.9639343	0.76570939	0.24702802	1.9512239	0.76266641	0.24644463	1.9115281	0.75311429	0.24460565	1.8149476	0.72955511	0.24001911
0.51	1.9763309	0.76867006	0.24759449	1.9653664	0.76605177	0.24709358	1.9532962	0.76316304	0.24653992	1.9177831	0.75462442	0.24489716	1.8300325	0.73326556	0.24074636
0.52	1.9816396	0.76993579	0.24783633	1.9675167	0.76656568	0.24719197	1.9553202	0.7636479	0.24663292	1.9233827	0.75597468	0.24515756	1.8437385	0.73662666	0.24140352
0.53	1.9861376	0.77100724	0.2480409	1.9700732	0.76717642	0.24730885	1.9573973	0.76414529	0.2467283	1.9284489	0.75719506	0.24539271	1.8562185	0.73967897	0.24199902
0.54	1.9899204	0.77190759	0.24821268	1.9728772	0.76784591	0.24743692	1.9595752	0.76466661	0.24682823	1.9330539	0.75830327	0.24560608	1.8675235	0.74243703	0.24253601
0.55	1.9952284	0.77316994	0.24845336	1.9758913	0.76856522	0.24757445	1.9618555	0.76521221	0.24693278	1.9373269	0.75933077	0.24580378	1.8778853	0.74495994	0.24302643
0.56	2.0009596	0.7745314	0.2487127	1.979393	0.76940028	0.24773404	1.9642984	0.76579643	0.24704468	1.9412806	0.76028062	0.24598641	1.8872155	0.74722667	0.24346625
0.57	2.0058015	0.77568044	0.2489314	1.983141	0.77029347	0.24790462	1.966935	0.76642665	0.24716535	1.945016	0.76117737	0.24615871	1.8957007	0.74928439	0.24386493
0.58	2.0100304	0.77668334	0.24912218	1.9870186	0.77121699	0.24808092	1.9697192	0.76709186	0.24729267	1.9486234	0.76204289	0.24632494	1.9036041	0.75119854	0.2442354
0.59	2.0143922	0.77771678	0.24931861	1.9909072	0.77214239	0.24825746	1.9727066	0.7678052	0.24742913	1.9521145	0.76287986	0.24648559	1.9107815	0.75293393	0.24457081
0.6	2.0187894	0.77875778	0.24951635	1.9949462	0.77310283	0.24844057	1.975859	0.76855748	0.24757297	1.9555335	0.76369898	0.24664272	1.9173776	0.75452651	0.24487826
0.61	2.0224865	0.77963234	0.24968236	1.9989341	0.77405037	0.2486211	1.9791017	0.76933082	0.24772076	1.9589287	0.76451182	0.24679856	1.92347	0.75599558	0.24516157
0.62	2.0256216	0.78037348	0.24982298	2.00285	0.77498013	0.24879813	1.9825036	0.77014161	0.24787563	1.9623118	0.76532127	0.24695366	1.9291643	0.75736709	0.24542581
0.63	2.0331822	0.78215915	0.25016151	2.0067964	0.77591657	0.24897635	1.9859663	0.77096646	0.24803312	1.9657029	0.76613221	0.24710898	1.9345747	0.7586691	0.24567649
0.64	2.0438203	0.78466725	0.25063629	2.0118252	0.77710867	0.24920304	1.9895891	0.77182879	0.24819765	1.9691203	0.7669488	0.24726529	1.9396263	0.75988328	0.24591002
0.65	2.0527619	0.78677148	0.25103402	2.0175788	0.77847115	0.2494619	1.993507	0.77276065	0.24837534	1.9725973	0.76777906	0.24742412	1.9444283	0.7610363	0.24613161
0.66	2.0604374	0.78857528	0.25137457	2.0236588	0.77990945	0.24973494	1.9977278	0.77376383	0.24856652	1.9761777	0.7686335	0.2475875	1.9490516	0.76214553	0.24634464
0.67	2.0684966	0.79046655	0.25173121	2.0299982	0.78140749	0.25001906	2.002234	0.77483403	0.24877033	1.9798454	0.76950819	0.24775466	1.9535305	0.76321918	0.24655069
0.68	2.0799929	0.79315935	0.25223821	2.0369316	0.78304374	0.25032905	2.0071001	0.77598859	0.24899005	1.9836999	0.7704267	0.24793008	1.9578962	0.76426473	0.2467512
0.69	2.0895813	0.7954008	0.25265953	2.0444957	0.78482629	0.25066637	2.0123646	0.77723643	0.24922731	1.9877501	0.7713911	0.24811414	1.9621945	0.76529324	0.24694829
0.7	2.097817	0.79732326	0.25302046	2.0522541	0.7866523	0.25101154	2.0179609	0.7785617	0.24947911	1.991999	0.77240209	0.24830698	1.9664764	0.76631708	0.24714438
0.71	2.1054113	0.7990934	0.25335239	2.0599778	0.78846751	0.25135426	2.0239217	0.77997174	0.24974677	1.9964978	0.77347163	0.24851085	1.9707766	0.76734441	0.24734099
0.72	2.1142699	0.80115502	0.25373846	2.0678613	0.79031748	0.25170311	2.0301829	0.78145104	0.2500273	2.0012623	0.77460329	0.2487264	1.975134	0.76838451	0.2475399
0.73	2.1217563	0.80289487	0.25406391	2.0757499	0.7921661	0.2520513	2.0367209	0.78299401	0.25031963	2.0062768	0.77579329	0.24895289	1.9795716	0.76944287	0.24774217
0.74	2.1279744	0.80433801	0.25433355	2.0834632	0.79397076	0.25239076	2.0434417	0.78457787	0.25061935	2.0115725	0.77704862	0.2491916	1.984145	0.77053259	0.24795027
0.75	2.1338452	0.80569942	0.25458773	2.0909903	0.79573001	0.25272139	2.0503029	0.78619332	0.25092482	2.0170564	0.77834758	0.24943844	1.988814	0.77164433	0.24816246
0.76	2.140216	0.80717502	0.25486297	2.0982775	0.79743071	0.25304062	2.0572656	0.78783038	0.25123401	2.0227879	0.77970365	0.2496959	1.9936465	0.77279387	0.24838168
0.77	2.1456581	0.80843414	0.25509762	2.1053492	0.79907883	0.25334964	2.0642484	0.78946993	0.25154333	2.0287364	0.7811094	0.24996253	1.9986469	0.77398217	0.24860811
0.78	2.1501716	0.80947743	0.25529189	2.1120342	0.80063469	0.25364102	2.0712406	0.79110935	0.25185225	2.0348659	0.78255611	0.25023665	2.0038348	0.77521371	0.24884256
0.79	2.1545156	0.81048096	0.25547866	2.1184687	0.80213106	0.25392107	2.0781891	0.79273708	0.25215875	2.0410908	0.78402418	0.25051463	2.009136	0.77647123	0.24908183
0.8	2.1590747	0.8115333	0.25567438	2.1245525	0.80354412	0.25418526	2.0850217	0.79433549	0.25245938	2.0474397	0.78551957	0.25079748	2.0146097	0.77776828	0.2493284
0.81	2.1630397	0.81244776	0.25584435	2.1303629	0.8048921	0.25443703	2.09172	0.79590032	0.25275336	2.0538652	0.78703102	0.25108306	2.0202438	0.77910179	0.24958165
0.82	2.1664003	0.81322236	0.25598824	2.1357897	0.80614987	0.25467176	2.0982114	0.79741506	0.25303765	2.060329	0.78854971	0.25136973	2.0260077	0.78046458	0.24984023
0.83	2.1692405	0.81387664	0.25610973	2.1408726	0.80732684	0.25489125	2.1045611	0.79889505	0.25331516	2.0667857	0.79006499	0.25165548	2.0318868	0.78185313	0.25010348
0.84	2.1744144	0.81506776	0.25633078	2.1457935	0.8084655	0.25510347	2.1107338	0.80033253	0.2535845	2.0732209	0.79157383	0.2519398	2.0378393	0.78325781	0.25036958
0.85	2.18002	0.81635695	0.25656982	2.1507951	0.8096216	0.25531874	2.116669	0.80171283	0.25384284	2.0795933	0.79306578	0.2522206	2.043885	0.78468251	0.25063918
0.86	2.1848107	0.81745787	0.25677382	2.15585	0.81078908	0.25553599	2.1224835	0.80306378	0.25409549	2.0859003	0.79454091	0.25249799	2.0499786	0.78611707	0.25091042
0.87	2.1887383	0.81835963	0.25694079	2.1607774	0.81192601	0.25574738	2.1281549	0.80437996	0.25434139	2.0921133	0.79599216	0.25277061	2.056108	0.78755822	0.25118261
0.88	2.1935198	0.81945676	0.25714382	2.1656094	0.81304013	0.2559544	2.1337232	0.80567117	0.25458247	2.0982528	0.79742494	0.25303954	2.0622469	0.78900027	0.25145477
0.89	2.1990262	0.82071903	0.25737724	2.170552	0.81417868	0.2561658	2.1391925	0.80693804	0.25481879	2.1042872	0.7988315	0.25330329	2.0683837	0.79044002	0.25172621
0.9	2.2036024	0.82176712	0.2575709	2.1754503	0.81530599	0.25637495	2.1445217	0.80817121	0.25504862	2.1102275	0.8002145	0.25356237	2.0744995	0.79187312	0.25199612
0.91	2.2075927	0.82268048	0.25773958	2.180299	0.81642115	0.25658173	2.1498509	0.80940346	0.25527814	2.1160865	0.80157746	0.25381752	2.0805929	0.79329973	0.25226462
0.92	2.2110771	0.82347742	0.25788667	2.1849482	0.81748941	0.25677965	2.1550576	0.8106061	0.25550194	2.1218473	0.80291596	0.25406785	2.0866419	0.79471415	0.25253054
0.93	2.2151249	0.8244027	0.25805736	2.1894348	0.81851955	0.2569704	2.1601838	0.81178916	0.25572195	2.1275247	0.80423388	0.25431413	2.0926478	0.79611707	0.25279408
0.94	2.2187574	0.82523243	0.25821033	2.1938646	0.81953577	0.25715843	2.1651981	0.81294525	0.25593676	2.1330991	0.80552643	0.25455544	2.0985921	0.79750394	0.25305434
0.95	2.2218831	0.82594605	0.25834184	2.1981164	0.82051054	0.25733869	2.1700841	0.81407089	0.25614578	2.1385888	0.80679823	0.2547927	2.1044837	0.7988772	0.25331185
