#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
121.54	0.72560756	0.41685161	0.17051455	0.72924223	0.41812067	0.17083797	0.72390204	0.41625533	0.17036245	0.71121121	0.411801	0.16922315	0.69272287	0.40525668	0.16753944
121.55	0.72412697	0.41633401	0.17038253	0.72876128	0.41795289	0.17079524	0.72448265	0.4164584	0.17041427	0.71266442	0.41231264	0.16935429	0.69484916	0.40601279	0.16773459
121.56	0.72271248	0.4158391	0.17025622	0.72815378	0.4177409	0.17074123	0.72492649	0.41661359	0.17045385	0.71400524	0.41278431	0.16947512	0.69689053	0.40673779	0.16792154
121.57	0.72146446	0.41540211	0.17014464	0.72747304	0.41750327	0.17068068	0.72524645	0.41672544	0.17048238	0.71523592	0.41321693	0.16958589	0.6988475	0.40743202	0.16810042
121.58	0.72034973	0.41501156	0.17004487	0.72673458	0.41724539	0.17061496	0.72545267	0.41679752	0.17050076	0.71636241	0.41361268	0.16968718	0.70072236	0.40809644	0.1682715
121.59	0.71912572	0.41458247	0.16993521	0.72595699	0.41697376	0.17054571	0.72555597	0.41683362	0.17050997	0.71738713	0.41397249	0.16977923	0.70251576	0.40873139	0.16843488
121.6	0.7178142	0.41412237	0.16981757	0.72510824	0.41667712	0.17047006	0.72555094	0.41683186	0.17050952	0.71829824	0.41429222	0.169861	0.70421436	0.40933217	0.16858937
121.61	0.71666412	0.41371863	0.16971429	0.72423289	0.41637104	0.17039198	0.72544686	0.41679549	0.17050025	0.71909277	0.41457091	0.16993225	0.70581301	0.40989705	0.16873452
121.62	0.71562909	0.41335508	0.16962125	0.72332431	0.4160532	0.17031087	0.72525754	0.41672932	0.17048337	0.71979184	0.41481603	0.1699949	0.70732641	0.41043139	0.16887175
121.63	0.71447455	0.41294932	0.16951738	0.72240222	0.4157305	0.17022849	0.72499537	0.41663767	0.17046	0.72039644	0.41502795	0.17004906	0.70875301	0.41093473	0.16900096
121.64	0.71314597	0.41248208	0.1693977	0.72143472	0.41539171	0.17014198	0.72464887	0.41651652	0.17042909	0.7208902	0.41520097	0.17009326	0.71007416	0.41140047	0.16912044
121.65	0.71197298	0.41206927	0.16929192	0.72044743	0.41504582	0.17005362	0.72423522	0.41637187	0.17039219	0.72128677	0.41533989	0.17012875	0.71129971	0.41183221	0.16923115
121.66	0.71094658	0.41170781	0.16919925	0.71944059	0.41469285	0.16996342	0.72374384	0.41619999	0.17034833	0.72157477	0.41544076	0.17015451	0.71241273	0.41222403	0.16933158
121.67	0.70990408	0.41134052	0.16910507	0.7184339	0.41433981	0.16987317	0.72321148	0.41601374	0.1703008	0.72179776	0.41551886	0.17017445	0.7134566	0.41259135	0.16942569
121.68	0.70875915	0.41093689	0.16900151	0.7174186	0.41398353	0.16978206	0.72262072	0.41580698	0.17024802	0.72192444	0.41556322	0.17018578	0.71439508	0.41292139	0.16951022
121.69	0.7077338	0.41057519	0.16890867	0.71638992	0.41362234	0.16968965	0.72197623	0.41558134	0.17019041	0.72195881	0.41557525	0.17018886	0.71522787	0.41321411	0.16958517
121.7	0.70680802	0.41024845	0.16882478	0.71537566	0.41326604	0.16959846	0.72129805	0.41534384	0.17012975	0.72192554	0.4155636	0.17018588	0.71598036	0.4134785	0.16965284
121.71	0.70611516	0.41000382	0.16876195	0.71437802	0.41291539	0.16950869	0.72057918	0.41509198	0.17006542	0.72181709	0.41552563	0.17017618	0.71664013	0.41371023	0.16971214
121.72	0.70582853	0.40990258	0.16873595	0.71344278	0.4125865	0.16942445	0.71983321	0.41483054	0.16999861	0.72163742	0.4154627	0.17016011	0.71720885	0.41390991	0.16976323
121.73	0.70559609	0.40982048	0.16871485	0.71258397	0.41228432	0.16934703	0.7190685	0.4145624	0.16993008	0.72138972	0.41537595	0.17013796	0.7176848	0.41407696	0.16980596
121.74	0.7053925	0.40974855	0.16869637	0.71180604	0.41201048	0.16927685	0.71830474	0.41429448	0.16986158	0.72107926	0.4152672	0.17011018	0.71806736	0.41421121	0.16984029
121.75	0.70527166	0.40970586	0.16868541	0.71107796	0.41175411	0.16921113	0.71753665	0.41402496	0.16979265	0.72073141	0.41514533	0.17007905	0.7183945	0.41432599	0.16986964
121.76	0.70537256	0.40974151	0.16869457	0.71043169	0.41152645	0.16915275	0.71677461	0.41375745	0.16972422	0.72033256	0.41500556	0.17004334	0.71863737	0.41441119	0.16989142
121.77	0.7055187	0.40979314	0.16870783	0.70988817	0.41133493	0.16910363	0.7160372	0.41349847	0.16965795	0.71989196	0.41485113	0.17000388	0.71879964	0.41446811	0.16990598
121.78	0.7056473	0.40983857	0.1687195	0.70940234	0.41116368	0.1690597	0.71532071	0.41324674	0.16959352	0.71942127	0.41468611	0.1699617	0.71889542	0.41450171	0.16991456
121.79	0.70575686	0.40987727	0.16872944	0.70899422	0.41101979	0.16902278	0.71463659	0.41300629	0.16953197	0.71892443	0.41451188	0.16991716	0.71892651	0.41451261	0.16991735
121.8	0.70577011	0.40988195	0.16873065	0.70863639	0.41089361	0.1689904	0.71398911	0.41277865	0.16947367	0.71840956	0.41433128	0.16987099	0.71889799	0.41450261	0.16991479
121.81	0.70567442	0.40984815	0.16872196	0.70831399	0.41077989	0.16896122	0.71337523	0.41256273	0.16941837	0.71788108	0.41414585	0.16982357	0.71881249	0.41447262	0.16990713
121.82	0.70559322	0.40981946	0.16871459	0.70801117	0.41067307	0.1689338	0.71279496	0.41235858	0.16936606	0.71734507	0.41395772	0.16977546	0.71867561	0.41442461	0.16989485
121.83	0.70552338	0.40979479	0.16870826	0.70774664	0.41057973	0.16890984	0.71224729	0.41216583	0.16931667	0.71680556	0.41376832	0.169727	0.7184985	0.41436248	0.16987897
121.84	0.70548506	0.40978125	0.16870478	0.7074989	0.41049231	0.1688874	0.71173554	0.41198567	0.16927049	0.71626913	0.41357993	0.1696788	0.71827521	0.41428414	0.16985894
121.85	0.705483	0.40978053	0.16870459	0.70727546	0.41041346	0.16886715	0.7112524	0.41181555	0.16922688	0.71573684	0.41339295	0.16963095	0.71802003	0.41419461	0.16983604
121.86	0.70549544	0.40978492	0.16870572	0.70707639	0.4103432	0.16884911	0.71079761	0.41165536	0.16918581	0.715211	0.41320818	0.16958365	0.71773639	0.41409507	0.16981059
121.87	0.70549609	0.40978515	0.16870578	0.70689943	0.41028073	0.16883307	0.71037071	0.41150497	0.16914724	0.71469393	0.41302645	0.16953713	0.71742762	0.4139867	0.16978287
121.88	0.70544864	0.40976839	0.16870147	0.70674213	0.4102252	0.16881881	0.70997604	0.41136589	0.16911158	0.71419002	0.41284929	0.16949176	0.71709367	0.41386947	0.16975288
121.89	0.70533454	0.40972807	0.16869111	0.70659365	0.41017278	0.16880535	0.70961028	0.41123698	0.16907851	0.71370122	0.41267739	0.16944774	0.71674068	0.41374553	0.16972117
121.9	0.70522603	0.40968974	0.16868126	0.7064488	0.41012163	0.16879222	0.70926707	0.41111599	0.16904747	0.71322659	0.41251044	0.16940497	0.71637468	0.413617	0.16968829
121.91	0.70517072	0.40967019	0.16867624	0.70631005	0.41007264	0.16877963	0.70894488	0.41100239	0.16901832	0.71276678	0.41234866	0.16936352	0.71599816	0.41348475	0.16965444
121.92	0.70521196	0.40968476	0.16867999	0.70618248	0.41002759	0.16876806	0.70864211	0.41089562	0.16899092	0.71232209	0.41219216	0.16932342	0.71561354	0.41334964	0.16961986
121.93	0.7054047	0.40975286	0.16869748	0.70608758	0.40999408	0.16875945	0.70836395	0.41079751	0.16896574	0.71189747	0.41204269	0.16928511	0.71522253	0.41321224	0.16958469
121.94	0.70557235	0.40981209	0.1687127	0.70602834	0.40997316	0.16875408	0.70810698	0.41070687	0.16894248	0.71148883	0.41189881	0.16924823	0.71482888	0.41307389	0.16954927
121.95	0.70571641	0.40986298	0.16872577	0.70598236	0.40995692	0.16874991	0.70787383	0.41062461	0.16892136	0.71110167	0.41176246	0.16921327	0.71443477	0.41293534	0.1695138
121.96	0.70594322	0.40994309	0.16874635	0.70596259	0.40994993	0.16874811	0.7076601	0.4105492	0.168902	0.71072844	0.411631	0.16917956	0.71404237	0.41279738	0.16947847
121.97	0.70633642	0.41008195	0.16878202	0.70598322	0.40995722	0.16874998	0.70747287	0.41048313	0.16888504	0.71037723	0.41150727	0.16914783	0.71365364	0.41266066	0.16944345
121.98	0.70667314	0.41020084	0.16881256	0.70604487	0.40997899	0.16875558	0.70731091	0.41042597	0.16887037	0.7100456	0.41139041	0.16911786	0.71327022	0.41252579	0.1694089
121.99	0.70697061	0.41030586	0.16883953	0.70612948	0.41000888	0.16876325	0.70717331	0.4103774	0.1688579	0.70973382	0.41128052	0.16908968	0.71289333	0.41239319	0.16937493
122	0.70734742	0.41043886	0.16887368	0.70624312	0.41004901	0.16877356	0.70706338	0.4103386	0.16884793	0.70944235	0.41117778	0.16906332	0.71252513	0.41226363	0.16934173
122.01	0.70788522	0.41062863	0.1689224	0.70639559	0.41010285	0.16878739	0.70697978	0.41030909	0.16884036	0.70917249	0.41108265	0.16903891	0.71216657	0.41213742	0.16930939
122.02	0.70837214	0.4108004	0.16896648	0.70659759	0.41017417	0.16880571	0.70692889	0.41029113	0.16883574	0.70892827	0.41099653	0.16901682	0.71182087	0.41201572	0.1692782
122.03	0.70881208	0.41095556	0.1690063	0.70681492	0.4102509	0.16882541	0.70690151	0.41028147	0.16883326	0.70870426	0.41091754	0.16899655	0.71148617	0.41189787	0.16924799
122.04	0.70923814	0.41110579	0.16904485	0.70706265	0.41033835	0.16884787	0.70690471	0.41028259	0.16883355	0.70850341	0.4108467	0.16897837	0.71116506	0.41178479	0.169219
122.05	0.70976302	0.41129082	0.16909232	0.70733012	0.41043275	0.16887211	0.70693645	0.4102938	0.16883643	0.70832608	0.41078416	0.16896232	0.71085801	0.41167665	0.16919127
122.06	0.71040095	0.41151563	0.16914998	0.70763621	0.41054077	0.16889984	0.70699595	0.4103148	0.16884182	0.70817411	0.41073055	0.16894856	0.71056734	0.41157425	0.16916501
